id,pattern,direction,discovery,remote_site,autopilot_parser_site,downstream,current_interpretation,confidence,notes,response_event,observed_autopilot_output,remote_receive_site,response_confidence
J,J|,Remote -> AutoPilot,literal + parser,0x5a50,0x88b2,clears same flag; may call 0x7868/0x77f8,State disable / transition command,medium-high,Confirmed logical complement of H at parser state level; human meaning pending.,,,,
A,A| / A...,? -> AutoPilot,parser-only,not yet located,0x88e6,0x799c -> 0x97a0 -> 0x610c,Unknown acquisition/config command,medium,"Reads a value, accepts range 20..25, writes via 0x97a0, then jumps to 0x610c.",,,,
X1_2,X<1-2>|,Remote -> AutoPilot,dynamic builder + parser,0x59cc,0x8918,shared handler via 0x87a8/0x97a0,Two-state selector,high,Remote dynamically emits X plus one digit; AutoPilot explicitly accepts only X1 or X2.,,,,
V,"V<decimal>,|",Remote -> ?,dynamic builder,0x5970,no V top-level branch in parser 0x8258,—,"Unknown parameter command, possibly legacy/other mode",high construction / low semantic,"Construction is confirmed: V, signed/unsigned decimal, comma, |. Current AutoPilot parser does not expose V in its main text dispatch.",,,,
MS_MR,MS| / MR|,Remote -> ?,literals,0x58ec,visible M branch at 0x86e4 requires MC,—,Mode/handshake pair,high construction / low semantic,Selected by a global byte == 2 and transmitted three times. Main AutoPilot parser mismatch is an explicit open question.,,,,
MM,MM|,Remote -> ?,literal,~0xcc08/0xcc16/0xcc22,visible M branch requires MC,—,Limit/calibration-related remote packet,medium,"Appears in remote code near first/second limit detection and centering UI. Not accepted by the visible MC-only M branch, so another path/state is likely involved.",,,,
N,N|,Remote -> ?,literal,~0xdbac,no N top-level branch in parser 0x8258,—,Unknown settings/state command,medium,Remote sends three times; no matching top-level text branch yet found.,,,,
KK,KK|,Remote -> ?,literal,~0xc1c8,no K top-level branch in parser 0x8258,—,Handshake/bridge initialization-like command,medium,Also seen during bridge-related initialization. No matching main AutoPilot text branch yet found.,,,,
E1_0,"E1,0,|",Remote -> ?,literal,~0x8fxx-0x9050,no E top-level branch in parser 0x8258,—,Legacy/config variant,medium,One of four fixed E1 variants. Nearby remote UI text references legacy cablecam/IR behavior.,,,,
E1_400000,"E1,400000,|",Remote -> ?,literal,~0x8fxx-0x9050,no E top-level branch in parser 0x8258,—,Legacy/config variant,medium,Fixed E1 parameter variant.,,,,
E1_1500,"E1,1500,|",Remote -> ?,literal,~0x8fxx-0x9050,no E top-level branch in parser 0x8258,—,Legacy/config variant,medium,Fixed E1 parameter variant.,,,,
E1_10000,"E1,10000,|",Remote -> ?,literal,~0x8fxx-0x9050,no E top-level branch in parser 0x8258,—,Legacy/config variant,medium,Fixed E1 parameter variant.,,,,
IX,IX|,Remote image literal,literal only,xref not yet resolved,I-family parser exists but IX does not fit it,—,Unknown,low,"Found as ASCII literal, but no direct pointer xref has yet been located. Treat as candidate until an execution/xref path is proven.",,,,
T_OTHER,T... (non-TR top-level path),? -> AutoPilot,AutoPilot parser + event17 helper xref,not yet located,0x84fa / 0x85a4 path,helper 0x4618,Unknown T-family command distinct from TR,medium,This path can schedule event17 count=2 through helper 0x4618. Do not confuse with AutoPilot outbound T telemetry.,17 x2 conditional,##,not linked,high event scheduling / low transaction semantic
