firmware,address,ghidra_name,role,classification,confidence_basis,source_reference,notes
firmware_autopilot868.bin,0x00005898,FUN_00005898,GPIO pulse (position-increment + pin write),LIKELY_STANDARD_LIBRARY,role match: looks up a per-channel pin-index byte in a `.data`-segment table (already independently confirmed in docs/investigations/pin-index-provenance.md) then writes PORT.Group[n].OUTSET/OUTCLR -- exactly digitalWrite()'s implementation shape,ArduinoCore-samd@1.7.11:cores/arduino/wiring_digital.c:digitalWrite() (table = g_APinDescription[]),The `.data` pin-index table this project found independently is very likely `g_APinDescription[]` from the board variant file (variant.cpp) -- not confirmed by direct byte comparison against this board's own variant.cpp (not available; AutoPilot uses a custom PCB, not a stock Adafruit variant), so the *table* itself is CUSTOM_APPLICATION/board-specific even though the *access pattern* (this function) matches the standard core.
firmware_autopilot868.bin,0x0000d388,FUN_0000d388,shared table-indexed GPIO-pulse helper (TC ISR common path),LIKELY_STANDARD_LIBRARY,same reasoning as FUN_00005898 -- called from all four TC ISRs (motor-timer-survey.md),ArduinoCore-samd@1.7.11:cores/arduino/wiring_digital.c:digitalWrite(),—
firmware_autopilot868.bin,0x0000e648,FUN_0000e648,byte-copy loop (memcpy-shaped),LIKELY_STANDARD_LIBRARY,disassembly (this pass, docs/investigations/target-config-provenance.md) shows a plain pre-decrement/post-increment byte-copy loop with no early-exit/overlap handling -- the canonical newlib-nano/libgcc memcpy fingerprint; r0 is never touched (void return),newlib-nano or libgcc ARM EABI runtime (exact version not pinned -- toolchain is arm-none-eabi-gcc per firmware-layout.md but its bundled newlib/libgcc version was not independently identified this pass),Not CONFIRMED because no byte-for-byte comparison against a built newlib/libgcc binary was performed (would need to reproduce the exact compiler version+flags) -- structural fingerprint only.
firmware_autopilot868.bin,0x0000e664,FUN_0000e664,byte-fill loop (memset-shaped),LIKELY_STANDARD_LIBRARY,disassembly (this pass) shows a plain forward byte-fill loop -- the canonical newlib-nano/libgcc memset fingerprint,newlib-nano or libgcc ARM EABI runtime,Same caveat as FUN_0000e648.
firmware_autopilot868.bin,0x0000db08;0x0000dbdc;0x0000de30;0x0000dae8;0x0000e13c;0x0000e18c;0x0000d61c,FUN_0000db08 and cluster,64-bit fixed-point/long-long arithmetic helpers used throughout motor-profile math,LIKELY_STANDARD_LIBRARY,tight address clustering (0xd61c-0xe18c) adjacent to the confirmed newlib-style memcpy/memset pair; small leaf functions consumed with a `(lo,hi)` 32+32-bit calling convention typical of __aeabi_* 64-bit compiler-runtime helpers -- consistent with libgcc's ARM EABI long-long support rather than application code,libgcc ARM EABI runtime (__aeabi_l* family) -- exact symbol-to-address mapping not individually confirmed,Genuinely UNKNOWN at the individual-function level; grouped here as a classification of the cluster's likely origin, not seven independently confirmed matches. A future pass could pin exact __aeabi_* names via calling-convention analysis if it becomes load-bearing.
firmware_autopilot868.bin,0x00008258,FUN_00008258,ASCII protocol dispatcher,CUSTOM_APPLICATION,entire character-comparison dispatch tree (&/G/S/M/L/I/...) is AutoPilot-protocol-specific,application-specific,Extensively documented across this project's protocol docs.
firmware_autopilot868.bin,0x00007cc0,FUN_00007cc0 (reached via the FUN_00007e2c tail-jump gate at 0x7e2c),manual-move (LL-family adjacent) state machine,CUSTOM_APPLICATION,AutoPilot-specific per-channel target/config state machine,application-specific,docs/investigations/mc4-transition.md and docs/investigations/target-config-provenance.md.
firmware_autopilot868.bin,0x00006fd8,FUN_00006fd8,motor move-commit,CUSTOM_APPLICATION,AutoPilot-specific motion-profile arming logic,application-specific,docs/investigations/i-command-motor-chain.md and docs/investigations/mc4-transition.md.
firmware_autopilot868.bin,0x00008e18,FUN_00008e18,per-channel phase/ramp state machine,CUSTOM_APPLICATION,AutoPilot-specific,application-specific,docs/investigations/channel-busy-gate-search.md.
firmware_autopilot868.bin,0x00008a80,FUN_00008a80,per-channel event monitor,CUSTOM_APPLICATION,AutoPilot-specific,application-specific,docs/investigations/mc4-transition.md.
firmware_autopilot868.bin,0x000054e0,FUN_000054e0,L-family (LH/LL) command handler,CUSTOM_APPLICATION,AutoPilot-specific,application-specific,docs/investigations/ll-limit-workflow.md.
firmware_autopilot868.bin,0x00007a98,FUN_00007a98,MC/MC4 per-channel config parser + LCD status refresh caller,CUSTOM_APPLICATION,the config-field parsing and struct layout are AutoPilot-specific; it calls a display-refresh function (FUN_00007514) that is itself LIKELY_THIRD_PARTY_LIBRARY (see below),application-specific,docs/investigations/mc4-transition.md.
firmware_autopilot868.bin,0x00007514,FUN_00007514,LCD status-line refresh,LIKELY_THIRD_PARTY_LIBRARY,ends in an indirect call through a pointer read from the object's own first field (`(**(code**)*obj)(obj, cmd, ...)`) -- a C++ virtual-dispatch/vtable-call shape, not a plain register access; consistent with a graphics/display driver library (e.g. an Adafruit_GFX-derived class) rather than hand-written register pokes,not individually identified (no specific library/version pinned),Confidence is LOW-MEDIUM: the vtable-call *shape* is real evidence of a library object, but no specific library (Adafruit_GFX, a vendor LCD library, etc.) was matched against source this pass.
firmware_autopilot868.bin,0x0000610c;0x00009d88;0x00009eac;0x00009984;0x00007fdc,radio device bring-up/probe/IRQ-flags-poll cluster,SX127x/RFM9x-style LoRa radio driver,LIKELY_THIRD_PARTY_LIBRARY,register-map evidence, not structural source comparison: probed registers (0x42 "RegVersion" expecting 0x12, 0x12 "RegIrqFlags", 0x01 "RegOpMode") are real, well-known SX127x register addresses -- already noted as "matching the well-known SX127x LoRa RegVersion check" in docs/investigations/post-homing-radio-probe.md,SX127x-family radio IC register map (public datasheet); specific driver library (RadioHead RH_RF95, Adafruit's own LoRa examples, LMIC, etc.) not distinguished this pass,No source file was fetched/compared for this cluster -- classification rests entirely on register-address evidence already in the existing docs, carried forward here with a library-family label rather than left as an isolated register-number coincidence.
firmware_autopilot868.bin,0x00004b64;0x00004b24;0x00009724;0x0000990e,persisted/default motor-config loader (the 0x12000 chain),CUSTOM_APPLICATION,decision logic (blank-marker check, 0xFF fallback fill, per-channel position resync, one-shot .data-gated arming) is entirely AutoPilot-specific; the only *standard* pieces it calls are the plain memcpy/memset primitives (FUN_0000e648/FUN_0000e664, classified separately above) -- there is no NVMCTRL register access anywhere in this cluster,application-specific (built on top of LIKELY_STANDARD_LIBRARY memcpy/memset primitives),docs/investigations/target-config-provenance.md. This is the sharpened answer to "who calls the flash-reading primitive": the callers are 100% custom application code, not a library NVM/EEPROM helper -- see docs/investigations/standard-library-provenance.md's "Sharpening the 0x12000 question" section.
firmware_autopilot868.bin,0x000098d8,FUN_000098d8 (erase-page loop region 0x9860-0x9910),NVMCTRL bulk erase sequence,UNKNOWN,issues real NVMCTRL commands (key 0xA5 + EP/WP) directly against the CTRLB register -- no library abstraction layer visible; ArduinoCore-samd 1.7.11's own cores/arduino/ tree has no NVM/EEPROM helper file (checked: no flash.cpp/NVM.cpp/EEPROM.cpp present) so this is not core-provided,not matched to any specific library (a raw NVMCTRL command sequence could be hand-written or copied from a third-party flash-emulation library such as FlashStorage -- not distinguished this pass),Deliberately left UNKNOWN rather than guessed at CUSTOM_APPLICATION or CONFIRMED_THIRD_PARTY_LIBRARY -- the evidence only rules out the Adafruit core itself, not a third-party library.
firmware_autopilot868.bin,0x0000449c,FUN_0000449c,channel-0 move-completion handler (display clear x4 + maybe-save + delay + GPIO pulse),CUSTOM_APPLICATION,called from FUN_00005be8 (TC0-only ISR ramp logic, already known) and twice from FUN_00005dd0 (called every real main-loop iteration); calls FUN_000097a4 then delay(100) then a channel-0 GPIO pulse,application-specific,docs/investigations/standard-library-provenance.md -- found while sharpening the 0x12000 write-side question; not concretely exercised.
firmware_autopilot868.bin,0x000097a4,FUN_000097a4,conditional config-save (checks a dirty byte then erases+writes flash),CUSTOM_APPLICATION,checks a per-buffer dirty flag (+0x1002) then marks the blob has-been-written (+0x1001=1 -- the exact byte FUN_00009724 checks on the read side) and calls the real NVM erase/write pair,application-specific,Same as above. The dirty-flag's own setter was not traced this pass.
firmware_autopilot868.bin,0x000097f4,FUN_000097f4,unconditional config-save-now (passes flash address 0x00012000 explicitly),CUSTOM_APPLICATION,the only literal-pool reference to the constant 0x00012000 anywhere in the firmware (exhaustive scan); clears the dirty and initialized markers after saving,application-specific,Same as above. No caller was found for this specific entry point in the static calls graph this pass checked -- worth re-checking with a wider/computed-call-aware method in a future slice.
firmware_autopilot868.bin,0x000098f0;0x0000984c;0x0000981c,FUN_000098f0/FUN_0000984c/FUN_0000981c,NVM erase / NVM write / NVM raw-address write primitives (write side of the 0x12000 chain),UNKNOWN,share the same driver-object base (0x20004148) as the already-known read-side NVM primitives; likely the same family as the already-known FUN_000098d8 bulk-erase sequence (post-probe-main-loop.md) but not individually disassembled this pass to confirm,not matched to any specific library,Same UNKNOWN reasoning as FUN_000098d8 -- grouped here rather than guessed.
firmware_autopilot868.bin,0x0000977c,FUN_0000977c,persisted-config byte writer + dirty-flag setter,CUSTOM_APPLICATION,disassembled in full: writes one byte into the persisted config buffer via a lazy-init check then a change-detecting compare (cmp+itttt ne) -- sets the dirty byte (0x20004147) and performs the actual store only if the new value differs from the current one,application-specific,docs/investigations/dirty-flag-persistence.md. Found via a full-image movw #0x1002 scan, not a literal-pool xref (the offset exceeds Thumb-2's immediate-encoding range).
firmware_autopilot868.bin,0x00009768,FUN_00009768,persisted-config byte reader (paired accessor to FUN_0000977c),CUSTOM_APPLICATION,plain lazy-init-then-read shape,application-specific,docs/investigations/dirty-flag-persistence.md and docs/investigations/target-config-provenance.md (already used by FUN_00004b64).
firmware_autopilot868.bin,0x000097f4,FUN_000097f4,unconditional config save-now + dirty/loaded flag clear,CUSTOM_APPLICATION,disassembled in full: unconditionally erases+writes flash 0x00012000 then clears both the dirty byte (0x20004147=0) and the loaded flag (buffer[0]=0),application-specific,docs/investigations/dirty-flag-persistence.md. No confirmed caller anywhere in the image (checked via the calls graph and a full-image branch-target scan for 0x97f4) -- reachability unresolved.
firmware_autopilot868.bin,0x00004370,FUN_00004370,write a 32-bit value byte-by-byte into the persisted config buffer,CUSTOM_APPLICATION,4 calls to FUN_0000977c (big-endian byte order) at a caller-supplied logical offset; called from FUN_00008258's 'D' ASCII command branch,application-specific,docs/investigations/dirty-flag-persistence.md. This pass's discovery of a previously undocumented protocol command (D<value>|).
firmware_autopilot868.bin,0x000043ac,FUN_000043ac,read a 32-bit value byte-by-byte from the persisted config buffer,CUSTOM_APPLICATION,paired reader to FUN_00004370; called by FUN_00004c20 at boot,application-specific,docs/investigations/dirty-flag-persistence.md.
firmware_autopilot868.bin,0x00004c20,FUN_00004c20,boot-time persisted-config reader (reads the D-command marker/value plus other scattered global settings),CUSTOM_APPLICATION,reads several fixed offsets from the persisted buffer then calls FUN_00004b64,application-specific,docs/investigations/dirty-flag-persistence.md. The sibling bulk-config-loader named alongside FUN_00004b64 since channel-busy-gate-search.md/mc4-transition.md, now traced.
firmware_autopilot868.bin,0x00005be8,FUN_00005be8,TC0 (channel-0-only) ISR ramp/completion logic,CUSTOM_APPLICATION,already independently established in channel-busy-gate-search.md as channel-0-hardcoded; this pass adds its real call to FUN_0000449c on a real position==target completion condition,application-specific,docs/investigations/dirty-flag-persistence.md.
firmware_autopilot868.bin,0x00005dd0,FUN_00005dd0,per-main-loop-iteration housekeeping (watchdog-style timers, a digital-input hold-to-save/power-down sequence, an elapsed-timeout config write),CUSTOM_APPLICATION,disassembled in full: two of FUN_0000449c's three call sites live here, gated on a real digitalRead()-shaped input (FUN_0000d3dc(1)) held past a 1000-tick threshold (then an intentional infinite halt) or a separate 20000-tick elapsed check,application-specific,docs/investigations/dirty-flag-persistence.md. The physical pin behind FUN_0000d3dc(1) was not resolved this pass (out of scope: no connector-identity claim).
